SegmentIndex;               Timestamp;    GroupIdx;     EchoIdx;    PointIdx;           X;           Y;           Z;       Range;     Azimuth;   Elevation;   Intensity
           6;       1706395793.744506;           0;           0;           0;       0.000;       0.000;       0.000;       0.000; -0.17997831; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;           1;       0.000;       0.000;       0.000;       0.000; -0.16252501; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;           2;       0.000;       0.000;       0.000;       0.000; -0.14507173; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;           3;       0.000;       0.000;       0.000;       0.000; -0.12761843; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;           4;       0.000;       0.000;       0.000;       0.000; -0.11016514; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;           5;       0.000;       0.000;       0.000;       0.000; -0.09271185; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;           6;       0.000;       0.000;       0.000;       0.000; -0.07525855; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;           7;       0.000;       0.000;       0.000;       0.000; -0.05780526; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;           8;       0.000;       0.000;       0.000;       0.000; -0.04035197; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;           9;       0.000;       0.000;       0.000;       0.000; -0.02289868; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;          10;       0.000;       0.000;       0.000;       0.000; -0.00544539; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;          11;       0.000;       0.000;       0.000;       0.000;  0.01200791; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;          12;       0.000;       0.000;       0.000;       0.000;  0.02946120; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;          13;       0.000;       0.000;       0.000;       0.000;  0.04691449; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;          14;       0.000;       0.000;       0.000;       0.000;  0.06436779; -0.39097458;       0.000
           6;       1706395793.744506;           0;           0;          15;       0.000;       0.000;       0.000;       0.000;  0.08182108; -0.39097458;       0.000
